Symbol,Series,Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,No. of Trades
INFY,EQ,24-Sep-20,1019.75,1003,1009,970,977.75,975.4,986.71,14427463,14235738440,273411
INFY,EQ,25-Sep-20,975.4,975.8,1014.9,975,1006.6,1011.45,998.29,13311079,13288352062,230269
INFY,EQ,28-Sep-20,1011.45,1014.8,1016.15,998.5,1010.9,1010.4,1004.87,8554583,8596234609,165917
INFY,EQ,29-Sep-20,1010.4,1018,1028,1004.1,1013.85,1009,1016.65,8708572,8853558130,184552
INFY,EQ,30-Sep-20,1009,1009,1023.95,1005,1006,1008.25,1011.93,8049899,8145908490,141642
INFY,EQ,01-Oct-20,1008.25,1020.6,1026.5,1011.75,1018.7,1017.65,1016.4,5563432,5654650743,122973
INFY,EQ,05-Oct-20,1017.65,1018.05,1054.9,1018.05,1047.6,1048.7,1043.67,14212560,14833226247,239001
INFY,EQ,06-Oct-20,1048.7,1055,1060,1031.35,1056.45,1055.75,1044.46,9090819,9494983884,205608
INFY,EQ,07-Oct-20,1055.75,1044.9,1072,1035.5,1070.1,1066.55,1053.29,9284060,9778824469,176585
INFY,EQ,08-Oct-20,1066.55,1090,1124,1088.4,1094.5,1093.7,1105.97,21483024,23759656746,386362
INFY,EQ,09-Oct-20,1093.7,1095.1,1113.3,1088.45,1111.2,1106.8,1100.16,10567955,11626421247,173995
INFY,EQ,12-Oct-20,1106.8,1123,1140,1112.1,1139.2,1132.1,1125.5,14633780,16470282643,191485
INFY,EQ,13-Oct-20,1132.1,1135.55,1166.05,1135.55,1160,1157.8,1149.41,17524137,20142492308,316392
INFY,EQ,14-Oct-20,1157.8,1162,1164.9,1131.1,1138,1137,1144.19,16649731,19050428947,279112
INFY,EQ,15-Oct-20,1137,1180,1186,1092.5,1113.25,1108.25,1128.17,44288566,49965128164,697193
INFY,EQ,16-Oct-20,1108.25,1113.85,1135.95,1096.9,1129.5,1127.5,1118.76,18366133,20547237503,311640
INFY,EQ,19-Oct-20,1127.5,1135,1139,1115.3,1127.55,1125.9,1125,12902146,14514954127,215472
INFY,EQ,20-Oct-20,1125.9,1118.9,1144.7,1110,1135.9,1137.5,1136.69,10448852,11877155840,209442
INFY,EQ,21-Oct-20,1137.5,1141.15,1154.35,1135,1146.75,1148.35,1147.11,19811809,22726337788,283354
INFY,EQ,22-Oct-20,1148.35,1142,1158,1123.8,1135.35,1129.05,1138.64,11271538,12834266054,264809
